title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Stainless Steel Sheet and Strip from the People's Republic of China: Rescission of Antidumping Duty Administrative Review: 2019-2020,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (Commerce) is rescinding the administrative review of the antidumping duty (AD) order on stainless steel sheet and strip (SS sheet and strip) from the People's Republic of China (China) for the period of review (POR) April 1, 2019 through March 31, 2020, based on the timely withdrawal of the request for review.", 2020-19500,https://www.federalregister.gov/documents/2020/09/03/2020-19500/stainless-steel-sheet-and-strip-from-the-peoples-republic-of-china-rescission-of-antidumping-duty,https://www.govinfo.gov/content/pkg/FR-2020-09-03/pdf/2020-19500.pdf,09/03/2020
Certain Vacuum Insulated Flasks and Components Thereof; Institution of Investigation,Notice,International Trade Commission,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on July 29, 2020, under section 337 of the Tariff Act of 1930, as amended, on behalf of Steel Technology, LLC d/b/a Hydro Flask of Bend, Oregon and Helen of Troy Limited of El Paso, Texas. A supplement was filed on August 18, 2020. The complaint, as supplemented, alleges violations of section 337 based upon the importation into the United States, the sale for importation, and the sale within the United States after importation of certain vacuum insulated flasks and components thereof by reason of infringement of: (1) The sole claims of U.S. Design Patent No. D806,468 (``the '468 patent''); U.S. Design Patent No. D786,012 (``the '012 patent''); U.S. Design Patent No. D799,320 (``the '320 patent''); and (2) U.S. Trademark Registration No. 4,055,784 (``the '784 trademark''); U.S. Trademark Registration No. 5,295,365 (``the '365 trademark''); U.S. Trademark Registration No. 5,176,888 (``the '888 trademark''); and U.S. Trademark Registration No. 4,806,282 (``the '282 trademark''). The complaint further alleges that an industry in the United States exists as required by the applicable Federal Statute. The complainant requests that the Commission institute an investigation and, after the investigation, issue a general exclusion order, or in the alternative a limited exclusion order, and cease and desist orders.", 2020-19465,https://www.federalregister.gov/documents/2020/09/03/2020-19465/certain-vacuum-insulated-flasks-and-components-thereof-institution-of-investigation,https://www.govinfo.gov/content/pkg/FR-2020-09-03/pdf/2020-19465.pdf,09/03/2020
Initiation of Antidumping and Countervailing Duty Administrative Reviews,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (Commerce) has received requests to conduct administrative reviews of various antidumping duty (AD) and countervailing duty (CVD) orders and findings with July anniversary dates. In accordance with Commerce's regulations, we are initiating those administrative reviews.", 2020-19504,https://www.federalregister.gov/documents/2020/09/03/2020-19504/initiation-of-antidumping-and-countervailing-duty-administrative-reviews,https://www.govinfo.gov/content/pkg/FR-2020-09-03/pdf/2020-19504.pdf,09/03/2020
Adjusting Imports of Steel Into the United States,Presidential Document,Executive Office of the President,"", 2020-19595,https://www.federalregister.gov/documents/2020/09/02/2020-19595/adjusting-imports-of-steel-into-the-united-states,https://www.govinfo.gov/content/pkg/FR-2020-09-02/pdf/2020-19595.pdf,09/02/2020
"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe From the Republic of Korea and the Russian Federation: Postponement of Preliminary Determinations in the Countervailing Duty Investigations",Notice,Commerce Department; International Trade Administration,"", 2020-19395,https://www.federalregister.gov/documents/2020/09/02/2020-19395/seamless-carbon-and-alloy-steel-standard-line-and-pressure-pipe-from-the-republic-of-korea-and-the,https://www.govinfo.gov/content/pkg/FR-2020-09-02/pdf/2020-19395.pdf,09/02/2020
"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",Notice,"Trade Representative, Office of United States","On August 20, 2019, at the direction of the President, the U.S. Trade Representative determined to modify the action being taken in the Section 301 investigation of China's acts, policies, and practices related to technology transfer, intellectual property, and innovation by imposing additional duties of 10 percent ad valorem on goods of China with an annual trade value of approximately $300 billion. The additional duties on products in List 1, which is set out in Annex A of that action, became effective on September 1, 2019. The U.S. Trade Representative initiated a product exclusion process in October 2019, and has issued eight product exclusion notices under this action. These exclusions will expire on September 1, 2020. On June 26, July 17, and August 11, 2020, the U.S. Trade Representative established processes for the public to comment on whether to extend particular exclusions granted under the $300 billion action for up to 12 months. This notice announces the U.S. Trade Representative's determination to extend certain exclusions through December 31, 2020.", 2020-19419,https://www.federalregister.gov/documents/2020/09/02/2020-19419/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,https://www.govinfo.gov/content/pkg/FR-2020-09-02/pdf/2020-19419.pdf,09/02/2020
Prestressed Concrete Steel Wire Strand From China; Institution of Five-Year Reviews,Notice,International Trade Commission,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930 (``the Act''), as amended, to determine whether revocation of the antidumping and countervailing duty orders on prestressed concrete steel wire strand from China would be likely to lead to continuation or recurrence of material injury. Pursuant to the Act, interested parties are requested to respond to this notice by submitting the information specified below to the Commission.", 2020-18775,https://www.federalregister.gov/documents/2020/09/01/2020-18775/prestressed-concrete-steel-wire-strand-from-china-institution-of-five-year-reviews,https://www.govinfo.gov/content/pkg/FR-2020-09-01/pdf/2020-18775.pdf,09/01/2020
Boltless Steel Shelving Units Prepackaged for Sale From China; Institution of Five-Year Reviews,Notice,International Trade Commission,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930 (``the Act''), as amended, to determine whether revocation of the antidumping and countervailing duty orders on boltless steel shelving units prepackaged for sale from China would be likely to lead to continuation or recurrence of material injury. Pursuant to the Act, interested parties are requested to respond to this notice by submitting the information specified below to the Commission.", 2020-18774,https://www.federalregister.gov/documents/2020/09/01/2020-18774/boltless-steel-shelving-units-prepackaged-for-sale-from-china-institution-of-five-year-reviews,https://www.govinfo.gov/content/pkg/FR-2020-09-01/pdf/2020-18774.pdf,09/01/2020
"Use of Lead Free Pipes, Fittings, Fixtures, Solder, and Flux for Drinking Water",Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is finalizing changes to existing regulations to protect the public from lead in plumbing materials used in public water systems or residential or nonresidential facilities providing water for human consumption. The changes in this rule codify aspects of the Reduction of Lead in Drinking Water Act of 2011 (RLDWA) and the Community Fire Safety Act of 2013 (CFSA). The RLDWA amended section 1417 of the Safe Drinking Water Act (SDWA), which prohibits the use and introduction into commerce of certain plumbing products that are not ``lead free.'' The RLDWA revised the definition of lead free to lower the allowable maximum lead content of plumbing products; and established a statutory method for calculating lead content. EPA is also establishing new requirements for manufacturers or importers that introduce into commerce products that must meet lead free requirements to certify such products as being in compliance with the lead free requirements in Section 1417 of the SDWA, as well as other changes to existing regulations to assist in implementation of Section 1417 of the SDWA, as amended. EPA expects that these requirements for lead content in plumbing materials used in new installations and repairs will result in fewer sources of lead in drinking water and, consequently, will reduce adverse health effects associated with exposure to lead in drinking water. The SUPPLEMENTARY INFORMATION section details EPA's changes to existing regulations as authorized under the SDWA as amended.", 2020-16869,https://www.federalregister.gov/documents/2020/09/01/2020-16869/use-of-lead-free-pipes-fittings-fixtures-solder-and-flux-for-drinking-water,https://www.govinfo.gov/content/pkg/FR-2020-09-01/pdf/2020-16869.pdf,09/01/2020
"Antidumping or Countervailing Duty Order, Finding, or Suspended Investigation; Opportunity to Request Administrative Review",Notice,Commerce Department; International Trade Administration,"", 2020-19233,https://www.federalregister.gov/documents/2020/09/01/2020-19233/antidumping-or-countervailing-duty-order-finding-or-suspended-investigation-opportunity-to-request,https://www.govinfo.gov/content/pkg/FR-2020-09-01/pdf/2020-19233.pdf,09/01/2020
Initiation of Five-Year (Sunset) Reviews,Notice,Commerce Department; International Trade Administration,The Department of Commerce (Commerce) is automatically initiating the five-year reviews (Sunset Reviews) of the antidumping and countervailing duty (AD/CVD) order(s) listed below. The International Trade Commission (the ITC) is publishing concurrently with this notice its notice of Institution of Five-Year Reviews which covers the same order(s)., 2020-19232,https://www.federalregister.gov/documents/2020/09/01/2020-19232/initiation-of-five-year-sunset-reviews,https://www.govinfo.gov/content/pkg/FR-2020-09-01/pdf/2020-19232.pdf,09/01/2020
Occupational Exposure to Beryllium and Beryllium Compounds in Construction and Shipyard Sectors,Rule,Labor Department; Occupational Safety and Health Administration,"OSHA is amending its existing construction and shipyard standards for occupational exposure to beryllium and beryllium compounds to clarify certain provisions and simplify or improve compliance. These changes are designed to accomplish three goals: to more appropriately tailor the requirements of the construction and shipyards standards to the particular exposures in these industries in light of partial overlap between the beryllium standards' requirements and other OSHA standards; to aid compliance and enforcement across the beryllium standards by avoiding inconsistency, where appropriate, between the shipyards and construction standards and recent revisions to the general industry standard; and to clarify certain requirements with respect to materials containing only trace amounts of beryllium. This final rule does not affect the general industry beryllium standard.", 2020-18017,https://www.federalregister.gov/documents/2020/08/31/2020-18017/occupational-exposure-to-beryllium-and-beryllium-compounds-in-construction-and-shipyard-sectors,https://www.govinfo.gov/content/pkg/FR-2020-08-31/pdf/2020-18017.pdf,08/31/2020
Certain Non-Refillable Steel Cylinders From the People's Republic of China: Preliminary Affirmative Countervailing Duty Determination and Alignment of Final Determination With Final Antidumping Duty Determination,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of certain non-refillable steel cylinders (non-refillable cylinders) from the People's Republic of China (China) during the period of investigation January 1, 2019 through December 31, 2019. Interested parties are invited to comment on this preliminary determination.", 2020-18991,https://www.federalregister.gov/documents/2020/08/28/2020-18991/certain-non-refillable-steel-cylinders-from-the-peoples-republic-of-china-preliminary-affirmative,https://www.govinfo.gov/content/pkg/FR-2020-08-28/pdf/2020-18991.pdf,08/28/2020
"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe From Czechia, Korea, Russia, and Ukraine",Notice,International Trade Commission,"", 2020-18932,https://www.federalregister.gov/documents/2020/08/28/2020-18932/seamless-carbon-and-alloy-steel-standard-line-and-pressure-pipe-from-czechia-korea-russia-and,https://www.govinfo.gov/content/pkg/FR-2020-08-28/pdf/2020-18932.pdf,08/28/2020
Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Southwest Fisheries Science Center Fisheries Research,Proposed Rule,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS's Office of Protected Resources (OPR) has received a request from NMFS's Southwest Fisheries Science Center (SWFSC) for authorization to take marine mammals incidental to fisheries research conducted in multiple specified geographical regions, over the course of five years from the date of issuance. As required by the Marine Mammal Protection Act (MMPA), NMFS is proposing regulations to govern that take, and requests comments on the proposed regulations. NMFS will consider public comments prior to making any final decision on the issuance of the requested MMPA authorization and agency responses will be summarized in the final notice of our decision.", 2020-17848,https://www.federalregister.gov/documents/2020/08/28/2020-17848/taking-and-importing-marine-mammals-taking-marine-mammals-incidental-to-southwest-fisheries-science,https://www.govinfo.gov/content/pkg/FR-2020-08-28/pdf/2020-17848.pdf,08/28/2020
Migratory Bird Hunting; Migratory Bird Hunting Regulations on Certain Federal Indian Reservations and Ceded Lands for the 2020-21 Season,Rule,Interior Department; Fish and Wildlife Service,"This rule prescribes special migratory bird hunting regulations for certain Tribes on Federal Indian reservations, off- reservation trust lands, and ceded lands. This rule responds to tribal requests for U.S. Fish and Wildlife Service (hereinafter ``Service'' or ``we'') recognition of their authority to regulate hunting under established guidelines. This rule allows the establishment of season bag limits and, thus, harvest at levels compatible with populations and habitat conditions.", 2020-17692,https://www.federalregister.gov/documents/2020/08/28/2020-17692/migratory-bird-hunting-migratory-bird-hunting-regulations-on-certain-federal-indian-reservations-and,https://www.govinfo.gov/content/pkg/FR-2020-08-28/pdf/2020-17692.pdf,08/28/2020
"Carbon and Certain Alloy Steel Wire Rod from Brazil, Indonesia, Mexico, Moldova, and Trinidad and Tobago: Continuation of Antidumping Duty Orders and Countervailing Duty Order",Notice,Commerce Department; International Trade Administration,"As a result of the determinations by the Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC) that revocation of the antidumping duty (AD) orders on carbon and certain alloy steel wire rod (wire rod) from Brazil, Indonesia, Mexico, Moldova, and Trinidad and Tobago and revocation of the countervailing duty (CVD) order on wire rod from Brazil would likely lead to continuation or recurrence of dumping, countervailable subsidies, and material injury to an industry in the United States, Commerce is publishing a notice of continuation of these AD orders and the CVD order.", 2020-18900,https://www.federalregister.gov/documents/2020/08/27/2020-18900/carbon-and-certain-alloy-steel-wire-rod-from-brazil-indonesia-mexico-moldova-and-trinidad-and-tobago,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,08/27/2020
Non-Refillable Steel Cylinders From the People's Republic of China: Postponement of Preliminary Determination in the Less-Than-Fair-Value Investigation,Notice,Commerce Department; International Trade Administration,"", 2020-18794,https://www.federalregister.gov/documents/2020/08/26/2020-18794/non-refillable-steel-cylinders-from-the-peoples-republic-of-china-postponement-of-preliminary,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18794.pdf,08/26/2020
